time,gFx,gFy,gFz
2024-01-01 15:3:47.3810,0.043,-0.758,-0.646,0.997
2024-01-01 15:3:47.3990,0.043,-0.765,-0.646,1.002
2024-01-01 15:3:47.4010,0.042,-0.762,-0.641,0.997
2024-01-01 15:3:47.4110,0.045,-0.765,-0.636,0.996
2024-01-01 15:3:47.4210,0.046,-0.768,-0.638,0.999
2024-01-01 15:3:47.4300,0.046,-0.777,-0.642,1.009
2024-01-01 15:3:47.4410,0.05,-0.783,-0.633,1.008
2024-01-01 15:3:47.4500,0.048,-0.786,-0.63,1.008
2024-01-01 15:3:47.4610,0.043,-0.79,-0.64,1.018
2024-01-01 15:3:47.4750,0.041,-0.794,-0.645,1.024
2024-01-01 15:3:47.4800,0.043,-0.795,-0.638,1.02
2024-01-01 15:3:47.4990,0.048,-0.794,-0.634,1.017
2024-01-01 15:3:47.5010,0.047,-0.791,-0.635,1.015
2024-01-01 15:3:47.5100,0.048,-0.784,-0.631,1.008
2024-01-01 15:3:47.5200,0.046,-0.778,-0.628,1.001
2024-01-01 15:3:47.5300,0.045,-0.775,-0.633,1.002
2024-01-01 15:3:47.5400,0.047,-0.774,-0.63,0.999
2024-01-01 15:3:47.5500,0.047,-0.769,-0.624,0.991
2024-01-01 15:3:47.5600,0.043,-0.768,-0.622,0.989
2024-01-01 15:3:47.5750,0.038,-0.766,-0.623,0.988
2024-01-01 15:3:47.5800,0.035,-0.756,-0.627,0.983
2024-01-01 15:3:47.5990,0.029,-0.741,-0.632,0.974
2024-01-01 15:3:47.6000,0.029,-0.741,-0.632,0.974
2024-01-01 15:3:47.6090,0.024,-0.738,-0.631,0.971
2024-01-01 15:3:47.6190,0.018,-0.738,-0.636,0.974
2024-01-01 15:3:47.6290,0.012,-0.738,-0.645,0.98
2024-01-01 15:3:47.6400,0.009,-0.738,-0.649,0.983
2024-01-01 15:3:47.6500,0.009,-0.739,-0.649,0.984
2024-01-01 15:3:47.6600,0.011,-0.74,-0.65,0.985
2024-01-01 15:3:47.6700,0.013,-0.743,-0.654,0.99
2024-01-01 15:3:47.6790,0.015,-0.745,-0.653,0.991
2024-01-01 15:3:47.7000,0.021,-0.754,-0.651,0.996
2024-01-01 15:3:47.7010,0.021,-0.754,-0.651,0.996
2024-01-01 15:3:47.7090,0.025,-0.76,-0.65,1.0
2024-01-01 15:3:47.7190,0.03,-0.765,-0.643,1.0
2024-01-01 15:3:47.7290,0.034,-0.771,-0.638,1.001
2024-01-01 15:3:47.7390,0.038,-0.774,-0.642,1.006
2024-01-01 15:3:47.7500,0.043,-0.78,-0.643,1.012
2024-01-01 15:3:47.7590,0.04,-0.78,-0.643,1.012
2024-01-01 15:3:47.7740,0.034,-0.775,-0.646,1.01
2024-01-01 15:3:47.7790,0.032,-0.774,-0.65,1.011
2024-01-01 15:3:47.7980,0.035,-0.767,-0.657,1.011
2024-01-01 15:3:47.8000,0.035,-0.767,-0.657,1.011
2024-01-01 15:3:47.8080,0.038,-0.761,-0.66,1.008
2024-01-01 15:3:47.8180,0.042,-0.759,-0.662,1.008
2024-01-01 15:3:47.8280,0.048,-0.757,-0.663,1.007
2024-01-01 15:3:47.8380,0.052,-0.756,-0.669,1.011
2024-01-01 15:3:47.8500,0.054,-0.754,-0.673,1.012
2024-01-01 15:3:47.8580,0.061,-0.754,-0.665,1.007
2024-01-01 15:3:47.8730,0.065,-0.755,-0.661,1.006
2024-01-01 15:3:47.8780,0.068,-0.759,-0.671,1.015
2024-01-01 15:3:47.8970,0.065,-0.762,-0.681,1.024
2024-01-01 15:3:47.8980,0.056,-0.764,-0.672,1.019
2024-01-01 15:3:47.9080,0.054,-0.764,-0.655,1.008
2024-01-01 15:3:47.9180,0.055,-0.762,-0.647,1.001
2024-01-01 15:3:47.9280,0.052,-0.759,-0.652,1.002
2024-01-01 15:3:47.9380,0.05,-0.754,-0.668,1.009
2024-01-01 15:3:47.9490,0.046,-0.749,-0.676,1.01
2024-01-01 15:3:47.9580,0.049,-0.75,-0.669,1.006
2024-01-01 15:3:47.9730,0.047,-0.751,-0.665,1.004
2024-01-01 15:3:47.9770,0.044,-0.749,-0.668,1.005
2024-01-01 15:3:47.9980,0.041,-0.748,-0.666,1.002
2024-01-01 15:3:47.9990,0.041,-0.748,-0.666,1.002
2024-01-01 15:3:48.0070,0.042,-0.744,-0.665,0.999
2024-01-01 15:3:48.0190,0.041,-0.745,-0.66,0.996
2024-01-01 15:3:48.0270,0.039,-0.742,-0.657,0.992
2024-01-01 15:3:48.0370,0.04,-0.742,-0.663,0.996
2024-01-01 15:3:48.0470,0.038,-0.742,-0.662,0.995
2024-01-01 15:3:48.0570,0.042,-0.746,-0.658,0.996
2024-01-01 15:3:48.0720,0.041,-0.747,-0.649,0.99
2024-01-01 15:3:48.0770,0.038,-0.751,-0.643,0.989
2024-01-01 15:3:48.0970,0.04,-0.764,-0.639,0.997
2024-01-01 15:3:48.0970,0.04,-0.764,-0.639,0.997
2024-01-01 15:3:48.1070,0.039,-0.767,-0.635,0.997
2024-01-01 15:3:48.1170,0.036,-0.768,-0.628,0.993
2024-01-01 15:3:48.1270,0.035,-0.77,-0.625,0.992
2024-01-01 15:3:48.1370,0.036,-0.768,-0.628,0.993
2024-01-01 15:3:48.1470,0.033,-0.77,-0.632,0.997
2024-01-01 15:3:48.1570,0.031,-0.77,-0.636,0.999
2024-01-01 15:3:48.1710,0.031,-0.772,-0.636,1.001
2024-01-01 15:3:48.1760,0.034,-0.771,-0.639,1.002
2024-01-01 15:3:48.1980,0.048,-0.774,-0.639,1.005
2024-01-01 15:3:48.1990,0.048,-0.774,-0.639,1.005
2024-01-01 15:3:48.2060,0.054,-0.778,-0.625,0.999
2024-01-01 15:3:48.2180,0.055,-0.779,-0.623,0.999
2024-01-01 15:3:48.2260,0.05,-0.781,-0.628,1.003
2024-01-01 15:3:48.2360,0.041,-0.783,-0.631,1.006
2024-01-01 15:3:48.2460,0.034,-0.781,-0.631,1.005
2024-01-01 15:3:48.2560,0.029,-0.776,-0.637,1.004
2024-01-01 15:3:48.2710,0.03,-0.773,-0.644,1.007
2024-01-01 15:3:48.2760,0.032,-0.764,-0.645,1.0
2024-01-01 15:3:48.2980,0.031,-0.759,-0.65,1.0
2024-01-01 15:3:48.2990,0.031,-0.759,-0.65,1.0
2024-01-01 15:3:48.3050,0.032,-0.758,-0.654,1.002
2024-01-01 15:3:48.3180,0.04,-0.758,-0.646,0.997
2024-01-01 15:3:48.3250,0.052,-0.757,-0.642,0.994
2024-01-01 15:3:48.3350,0.058,-0.758,-0.638,0.992
2024-01-01 15:3:48.3450,0.058,-0.761,-0.637,0.994
2024-01-01 15:3:48.3550,0.054,-0.766,-0.632,0.995
2024-01-01 15:3:48.3700,0.051,-0.772,-0.625,0.995
2024-01-01 15:3:48.3750,0.048,-0.78,-0.625,1.001
2024-01-01 15:3:48.3980,0.044,-0.783,-0.62,1.0
2024-01-01 15:3:48.3990,0.044,-0.783,-0.62,1.0
2024-01-01 15:3:48.4050,0.041,-0.788,-0.621,1.004
2024-01-01 15:3:48.4170,0.035,-0.789,-0.619,1.003
2024-01-01 15:3:48.4250,0.034,-0.79,-0.615,1.002
2024-01-01 15:3:48.4350,0.036,-0.788,-0.617,1.001
2024-01-01 15:3:48.4450,0.037,-0.787,-0.615,0.999
2024-01-01 15:3:48.4550,0.036,-0.785,-0.612,0.996
2024-01-01 15:3:48.4700,0.038,-0.781,-0.612,0.993
2024-01-01 15:3:48.4750,0.041,-0.78,-0.612,0.992
2024-01-01 15:3:48.4960,0.04,-0.777,-0.609,0.988
2024-01-01 15:3:48.4960,0.04,-0.777,-0.609,0.988
2024-01-01 15:3:48.5040,0.038,-0.778,-0.611,0.99
