time,gFx,gFy,gFz
2024-04-13 18:49:38.5260,0.118,-0.837,-0.549,1.008
2024-04-13 18:49:38.5360,0.123,-0.845,-0.547,1.014
2024-04-13 18:49:38.5460,0.123,-0.849,-0.546,1.017
2024-04-13 18:49:38.5560,0.122,-0.848,-0.544,1.015
2024-04-13 18:49:38.5660,0.124,-0.846,-0.541,1.012
2024-04-13 18:49:38.5760,0.124,-0.842,-0.538,1.007
2024-04-13 18:49:38.6080,0.119,-0.829,-0.542,0.998
2024-04-13 18:49:38.6080,0.119,-0.829,-0.542,0.998
2024-04-13 18:49:38.6080,0.119,-0.829,-0.542,0.998
2024-04-13 18:49:38.6150,0.117,-0.828,-0.542,0.997
2024-04-13 18:49:38.6250,0.116,-0.83,-0.539,0.996
2024-04-13 18:49:38.6350,0.116,-0.833,-0.536,0.997
2024-04-13 18:49:38.6450,0.117,-0.838,-0.534,1.001
2024-04-13 18:49:38.6570,0.113,-0.842,-0.533,1.003
2024-04-13 18:49:38.6650,0.111,-0.844,-0.531,1.003
2024-04-13 18:49:38.6760,0.109,-0.846,-0.53,1.004
2024-04-13 18:49:38.7080,0.112,-0.849,-0.522,1.003
2024-04-13 18:49:38.7080,0.112,-0.849,-0.522,1.003
2024-04-13 18:49:38.7080,0.112,-0.849,-0.522,1.003
2024-04-13 18:49:38.7150,0.111,-0.848,-0.519,1.0
2024-04-13 18:49:38.7250,0.11,-0.846,-0.517,0.998
2024-04-13 18:49:38.7350,0.107,-0.844,-0.52,0.997
2024-04-13 18:49:38.7450,0.107,-0.842,-0.524,0.997
2024-04-13 18:49:38.7560,0.105,-0.841,-0.526,0.997
2024-04-13 18:49:38.7650,0.105,-0.842,-0.525,0.998
2024-04-13 18:49:38.7750,0.105,-0.843,-0.523,0.998
2024-04-13 18:49:38.8070,0.109,-0.84,-0.525,0.997
2024-04-13 18:49:38.8070,0.109,-0.84,-0.525,0.997
2024-04-13 18:49:38.8080,0.109,-0.84,-0.525,0.997
2024-04-13 18:49:38.8140,0.111,-0.84,-0.523,0.996
2024-04-13 18:49:38.8250,0.109,-0.843,-0.524,0.999
2024-04-13 18:49:38.8340,0.104,-0.844,-0.52,0.997
2024-04-13 18:49:38.8440,0.104,-0.846,-0.521,0.999
2024-04-13 18:49:38.8540,0.103,-0.845,-0.523,0.999
2024-04-13 18:49:38.8640,0.102,-0.847,-0.52,0.999
2024-04-13 18:49:38.8740,0.103,-0.846,-0.522,0.999
2024-04-13 18:49:38.9090,0.105,-0.849,-0.52,1.001
2024-04-13 18:49:38.9090,0.105,-0.849,-0.52,1.001
2024-04-13 18:49:38.9090,0.105,-0.849,-0.52,1.001
2024-04-13 18:49:38.9140,0.107,-0.851,-0.521,1.004
2024-04-13 18:49:38.9240,0.107,-0.852,-0.521,1.004
2024-04-13 18:49:38.9340,0.11,-0.85,-0.518,1.001
2024-04-13 18:49:38.9440,0.111,-0.849,-0.52,1.002
2024-04-13 18:49:38.9540,0.107,-0.847,-0.523,1.001
2024-04-13 18:49:38.9630,0.107,-0.846,-0.523,1.0
2024-04-13 18:49:38.9740,0.109,-0.846,-0.525,1.002
2024-04-13 18:49:39.0060,0.111,-0.842,-0.521,0.996
2024-04-13 18:49:39.0060,0.111,-0.842,-0.521,0.996
2024-04-13 18:49:39.0060,0.111,-0.842,-0.521,0.996
2024-04-13 18:49:39.0130,0.111,-0.843,-0.522,0.998
2024-04-13 18:49:39.0240,0.111,-0.842,-0.522,0.997
2024-04-13 18:49:39.0330,0.112,-0.843,-0.523,0.998
2024-04-13 18:49:39.0430,0.111,-0.844,-0.523,0.999
2024-04-13 18:49:39.0530,0.11,-0.841,-0.524,0.997
2024-04-13 18:49:39.0630,0.108,-0.842,-0.525,0.998
2024-04-13 18:49:39.0730,0.108,-0.844,-0.526,1.0
2024-04-13 18:49:39.1070,0.11,-0.844,-0.525,1.0
2024-04-13 18:49:39.1070,0.11,-0.844,-0.525,1.0
2024-04-13 18:49:39.1070,0.11,-0.844,-0.525,1.0
2024-04-13 18:49:39.1130,0.113,-0.843,-0.53,1.002
2024-04-13 18:49:39.1240,0.111,-0.844,-0.533,1.004
2024-04-13 18:49:39.1320,0.113,-0.842,-0.533,1.003
2024-04-13 18:49:39.1430,0.112,-0.842,-0.531,1.002
2024-04-13 18:49:39.1520,0.111,-0.84,-0.531,1.0
2024-04-13 18:49:39.1630,0.112,-0.839,-0.531,0.999
2024-04-13 18:49:39.1720,0.112,-0.839,-0.529,0.998
2024-04-13 18:49:39.1870,0.112,-0.842,-0.53,1.001
2024-04-13 18:49:39.2050,0.107,-0.846,-0.531,1.005
2024-04-13 18:49:39.2050,0.107,-0.846,-0.531,1.005
2024-04-13 18:49:39.2120,0.107,-0.847,-0.531,1.005
2024-04-13 18:49:39.2230,0.107,-0.848,-0.53,1.006
2024-04-13 18:49:39.2320,0.111,-0.847,-0.531,1.006
2024-04-13 18:49:39.2420,0.111,-0.847,-0.53,1.005
2024-04-13 18:49:39.2520,0.11,-0.842,-0.53,1.001
2024-04-13 18:49:39.2620,0.11,-0.839,-0.531,0.999
2024-04-13 18:49:39.2720,0.109,-0.837,-0.531,0.997
2024-04-13 18:49:39.2860,0.109,-0.837,-0.532,0.998
2024-04-13 18:49:39.3070,0.1,-0.839,-0.535,1.0
2024-04-13 18:49:39.3080,0.1,-0.839,-0.535,1.0
2024-04-13 18:49:39.3110,0.1,-0.841,-0.536,1.002
2024-04-13 18:49:39.3240,0.099,-0.843,-0.533,1.002
2024-04-13 18:49:39.3320,0.102,-0.847,-0.536,1.008
2024-04-13 18:49:39.3420,0.104,-0.846,-0.536,1.007
2024-04-13 18:49:39.3520,0.106,-0.845,-0.531,1.004
2024-04-13 18:49:39.3610,0.109,-0.845,-0.53,1.003
2024-04-13 18:49:39.3720,0.111,-0.845,-0.532,1.005
2024-04-13 18:49:39.3860,0.111,-0.843,-0.531,1.002
2024-04-13 18:49:39.4070,0.109,-0.845,-0.529,1.003
2024-04-13 18:49:39.4080,0.109,-0.845,-0.529,1.003
2024-04-13 18:49:39.4110,0.105,-0.848,-0.53,1.005
2024-04-13 18:49:39.4240,0.101,-0.845,-0.531,1.003
2024-04-13 18:49:39.4310,0.099,-0.841,-0.531,1.0
2024-04-13 18:49:39.4410,0.099,-0.838,-0.534,0.999
2024-04-13 18:49:39.4510,0.097,-0.835,-0.534,0.996
2024-04-13 18:49:39.4610,0.097,-0.832,-0.532,0.992
2024-04-13 18:49:39.4720,0.097,-0.832,-0.533,0.993
2024-04-13 18:49:39.4850,0.099,-0.833,-0.531,0.993
2024-04-13 18:49:39.5040,0.1,-0.829,-0.536,0.992
2024-04-13 18:49:39.5050,0.1,-0.829,-0.536,0.992
2024-04-13 18:49:39.5100,0.101,-0.827,-0.536,0.991
2024-04-13 18:49:39.5230,0.101,-0.826,-0.532,0.988
2024-04-13 18:49:39.5300,0.102,-0.829,-0.533,0.991
2024-04-13 18:49:39.5400,0.1,-0.834,-0.537,0.997
2024-04-13 18:49:39.5500,0.099,-0.832,-0.537,0.995
2024-04-13 18:49:39.5600,0.099,-0.83,-0.536,0.993
2024-04-13 18:49:39.5720,0.101,-0.832,-0.538,0.996
2024-04-13 18:49:39.5850,0.101,-0.832,-0.542,0.998
2024-04-13 18:49:39.6070,0.11,-0.838,-0.526,0.995
2024-04-13 18:49:39.6070,0.11,-0.838,-0.526,0.995
2024-04-13 18:49:39.6100,0.107,-0.846,-0.534,1.006
2024-04-13 18:49:39.6240,0.104,-0.849,-0.542,1.013
2024-04-13 18:49:39.6300,0.101,-0.851,-0.538,1.012
2024-04-13 18:49:39.6400,0.098,-0.849,-0.535,1.008
2024-04-13 18:49:39.6500,0.1,-0.843,-0.539,1.006
2024-04-13 18:49:39.6600,0.101,-0.835,-0.535,0.997
2024-04-13 18:49:39.6700,0.103,-0.827,-0.53,0.988
2024-04-13 18:49:39.6840,0.102,-0.827,-0.534,0.99
2024-04-13 18:49:39.7050,0.102,-0.832,-0.536,0.995
2024-04-13 18:49:39.7060,0.102,-0.832,-0.536,0.995
2024-04-13 18:49:39.7090,0.108,-0.841,-0.536,1.003
2024-04-13 18:49:39.7190,0.109,-0.846,-0.538,1.008
2024-04-13 18:49:39.7290,0.111,-0.849,-0.534,1.009
2024-04-13 18:49:39.7390,0.109,-0.85,-0.534,1.01
