time,gFx,gFy,gFz
2024-04-13 18:49:40.4060,0.136,-0.895,-0.533,1.051
2024-04-13 18:49:40.4060,0.136,-0.895,-0.533,1.051
2024-04-13 18:49:40.4060,0.136,-0.895,-0.533,1.051
2024-04-13 18:49:40.4150,0.135,-0.876,-0.56,1.048
2024-04-13 18:49:40.4250,0.12,-0.841,-0.566,1.021
2024-04-13 18:49:40.4370,0.117,-0.808,-0.574,0.998
2024-04-13 18:49:40.4460,0.127,-0.792,-0.554,0.975
2024-04-13 18:49:40.4560,0.15,-0.813,-0.536,0.985
2024-04-13 18:49:40.4650,0.196,-0.862,-0.55,1.041
2024-04-13 18:49:40.4800,0.222,-0.889,-0.543,1.065
2024-04-13 18:49:40.4850,0.201,-0.87,-0.524,1.035
2024-04-13 18:49:40.5070,0.143,-0.86,-0.51,1.01
2024-04-13 18:49:40.5070,0.143,-0.86,-0.51,1.01
2024-04-13 18:49:40.5150,0.151,-0.875,-0.499,1.019
2024-04-13 18:49:40.5250,0.174,-0.892,-0.501,1.038
2024-04-13 18:49:40.5350,0.197,-0.91,-0.494,1.054
2024-04-13 18:49:40.5450,0.247,-0.945,-0.504,1.099
2024-04-13 18:49:40.5560,0.267,-0.964,-0.517,1.126
2024-04-13 18:49:40.5650,0.233,-0.944,-0.533,1.109
2024-04-13 18:49:40.5800,0.174,-0.881,-0.555,1.056
2024-04-13 18:49:40.5850,0.106,-0.837,-0.554,1.009
2024-04-13 18:49:40.6050,-0.026,-0.732,-0.622,0.961
2024-04-13 18:49:40.6060,-0.026,-0.732,-0.622,0.961
2024-04-13 18:49:40.6140,-0.015,-0.701,-0.566,0.901
2024-04-13 18:49:40.6240,0.032,-0.756,-0.467,0.889
2024-04-13 18:49:40.6340,0.113,-0.791,-0.466,0.925
2024-04-13 18:49:40.6440,0.109,-0.792,-0.554,0.973
2024-04-13 18:49:40.6550,0.094,-0.8,-0.559,0.98
2024-04-13 18:49:40.6640,0.09,-0.797,-0.547,0.971
2024-04-13 18:49:40.6790,0.095,-0.791,-0.571,0.98
